Entry	Status	yourlist:M201904245C475328CEF75220C360D524E9D456CE077D18J
P38167	reviewed	YBL101C
P38166	reviewed	YBL102W
P38165	reviewed	YBL103C
P38164	reviewed	YBL104C
P24583	reviewed	YBL105C
P38163	reviewed	YBL106C
P38162	reviewed	YBL107C
Q3E7Y5	reviewed	YBL111C
A0A023PXF5	reviewed	YBL112C
Q3E7Y4	reviewed	YBL112C
Q7M4S9	reviewed	YBL113C
P35172	reviewed	YBR001C
P35196	reviewed	YBR002C
P18900	reviewed	YBR003W
P38211	reviewed	YBR004C
P38212	reviewed	YBR005W
P38067	reviewed	YBR006W
P38213	reviewed	YBR007C
P38124	reviewed	YBR008C
P00817	reviewed	YBR011C
P38215	reviewed	YBR013C
P38068	reviewed	YBR014C
P38069	reviewed	YBR015C
P38216	reviewed	YBR016W
P38217	reviewed	YBR017C
P08431	reviewed	YBR018C
P04397	reviewed	YBR019C
P04385	reviewed	YBR020W
P05316	reviewed	YBR021W
P38218	reviewed	YBR022W
P29465	reviewed	YBR023C
P38072	reviewed	YBR024W
P38219	reviewed	YBR025C
P38071	reviewed	YBR026C
P38070	reviewed	YBR028C
P38221	reviewed	YBR029C
P38222	reviewed	YBR030W
P10664	reviewed	YBR031W
P38073	reviewed	YBR033W
P38074	reviewed	YBR034C
P38075	reviewed	YBR035C
P35206	reviewed	YBR036C
P23833	reviewed	YBR037C
P14180	reviewed	YBR038W
P38077	reviewed	YBR039W
P38224	reviewed	YBR040W
P38225	reviewed	YBR041W
P38226	reviewed	YBR042C
P38227	reviewed	YBR043C
P38228	reviewed	YBR044C
P38229	reviewed	YBR045C
P38230	reviewed	YBR046C
P38231	reviewed	YBR047W
P21538	reviewed	YBR049C
P38232	reviewed	YBR050C
P38234	reviewed	YBR052C
P38235	reviewed	YBR053C
P38079	reviewed	YBR054W
P19735	reviewed	YBR055C
P38081	reviewed	YBR056W
I2HB52	reviewed	YBR056W-A
P38236	reviewed	YBR057C
P38237	reviewed	YBR058C
Q3E790	reviewed	YBR058C-A
P38080	reviewed	YBR059C
P32833	reviewed	YBR060C
P38238	reviewed	YBR061C
P38239	reviewed	YBR062C
P38083	reviewed	YBR063C
P38241	reviewed	YBR065C
P38082	reviewed	YBR066C
P27654	reviewed	YBR067C
P38084	reviewed	YBR068C
P38085	reviewed	YBR069C
P38242	reviewed	YBR070C
P38243	reviewed	YBR071W
Q3E794	reviewed	YBR072C-A
P15992	reviewed	YBR072W
P38086	reviewed	YBR073W
P38244	reviewed	YBR074W
P38246	reviewed	YBR076W
P38247	reviewed	YBR077C
P38248	reviewed	YBR078W
P38249	reviewed	YBR079C
P18759	reviewed	YBR080C
P35177	reviewed	YBR081C
P15731	reviewed	YBR082C
P18412	reviewed	YBR083W
P0CX82	reviewed	YBL027W,YBR084C-A
P0CX83	reviewed	YBL027W,YBR084C-A
P09440	reviewed	YBR084W
O43137	reviewed	YBR085C-A
P18238	reviewed	YBR085W
P38250	reviewed	YBR086C
P38251	reviewed	YBR087W
P15873	reviewed	YBR088C
P11633	reviewed	YBR089C-A
P38253	reviewed	YBR090C
P32830	reviewed	YBR091C
P24031	reviewed	YBR092C
P00635	reviewed	YBR093C
P38254	reviewed	YBR094W
P38255	reviewed	YBR095C
P38256	reviewed	YBR096W
P22219	reviewed	YBR097W
P38257	reviewed	YBR098W
P38260	reviewed	YBR101C
P38261	reviewed	YBR102C
P38262	reviewed	YBR103W
P38087	reviewed	YBR104W
P38263	reviewed	YBR105C
P38264	reviewed	YBR106W
P38265	reviewed	YBR107C
P38266	reviewed	YBR108W
P06787	reviewed	YBR109C
P16661	reviewed	YBR110W
Q01976	reviewed	YBR111C
Q6WNK7	reviewed	YBR111W-A
P14922	reviewed	YBR112C
P31244	reviewed	YBR114W
P07702	reviewed	YBR115C
P33315	reviewed	YBR117C
P32605	reviewed	YBR119W
P07253	reviewed	YBR120C
P38088	reviewed	YBR121C
P36531	reviewed	YBR122C
P32367	reviewed	YBR123C
P38089	reviewed	YBR125C
Q00764	reviewed	YBR126C
Q8TGU7	reviewed	YBR126W-A
P16140	reviewed	YBR127C
P38270	reviewed	YBR128C
P38271	reviewed	YBR129C
P38272	reviewed	YBR130C
P38273	reviewed	YBR131W
P38090	reviewed	YBR132C
P38274	reviewed	YBR133C
P20486	reviewed	YBR135W
P38111	reviewed	YBR136W
P38276	reviewed	YBR137W
P38277	reviewed	YBR138C
P38109	reviewed	YBR139W
P18963	reviewed	YBR140C
P38278	reviewed	YBR141C
P38112	reviewed	YBR142W
P12385	reviewed	YBR143C
P38113	reviewed	YBR145W
P38120	reviewed	YBR146W
P38279	reviewed	YBR147W
P38280	reviewed	YBR148W
P38115	reviewed	YBR149W
P38114	reviewed	YBR150C
P38281	reviewed	YBR151W
P38282	reviewed	YBR152W
P33312	reviewed	YBR153W
P20434	reviewed	YBR154C
P33313	reviewed	YBR155W
P38283	reviewed	YBR156C
P38284	reviewed	YBR157C
P38285	reviewed	YBR158W
P38286	reviewed	YBR159W
P00546	reviewed	YBR160W
P38287	reviewed	YBR161W
P38288	reviewed	YBR162C
P38374	reviewed	YBR162W-A
P38289	reviewed	YBR163W
P38116	reviewed	YBR164C
P38290	reviewed	YBR165W
P20049	reviewed	YBR166C
P38291	reviewed	YBR167C
P38292	reviewed	YBR168W
P32590	reviewed	YBR169C
P33755	reviewed	YBR170C
P33754	reviewed	YBR171W
P32909	reviewed	YBR172C
P38293	reviewed	YBR173C
P38123	reviewed	YBR175W
P38122	reviewed	YBR176W
P38295	reviewed	YBR177C
P38297	reviewed	YBR179C
P38125	reviewed	YBR180W
P38128	reviewed	YBR182C
Q8TGU6	reviewed	YBR182C-A
P38298	reviewed	YBR183W
P38299	reviewed	YBR184W
P38300	reviewed	YBR185C
P38126	reviewed	YBR186W
P38301	reviewed	YBR187W
P38302	reviewed	YBR188C
P05755	reviewed	YBR189W
Q02753	reviewed	YBR191W
P38127	reviewed	YBR192W
P38304	reviewed	YBR193C
P38305	reviewed	YBR194W
P13712	reviewed	YBR195C
P12709	reviewed	YBR196C
Q3E820	reviewed	YBR196C-A
Q3E778	reviewed	YBR196C-B
P38306	reviewed	YBR197C
P38129	reviewed	YBR198C
P38131	reviewed	YBR199W
P29366	reviewed	YBR200W
Q3E755	reviewed	YBR200W-A
Q2V2Q3	reviewed	YBR201C-A
P38307	reviewed	YBR201W
P38132	reviewed	YBR202W
P38308	reviewed	YBR203W
P38139	reviewed	YBR204C
P38130	reviewed	YBR205W
P38310	reviewed	YBR207W
P32528	reviewed	YBR208C
P38312	reviewed	YBR210W
P38313	reviewed	YBR211C
P32831	reviewed	YBR212W
P15807	reviewed	YBR213W
P38314	reviewed	YBR214W
Q01448	reviewed	YBR215W
P38315	reviewed	YBR216C
P38316	reviewed	YBR217W
P32327	reviewed	YBR218C
P38317	reviewed	YBR219C
P38318	reviewed	YBR220C
P32473	reviewed	YBR221C
Q3E781	reviewed	YBR221W-A
P38137	reviewed	YBR222C
P38319	reviewed	YBR223C
P38321	reviewed	YBR225W
P38323	reviewed	YBR227C
P38324	reviewed	YBR228W
P38138	reviewed	YBR229C
P38325	reviewed	YBR230C
Q3E762	reviewed	YBR230W-A
P38326	reviewed	YBR231C
P38151	reviewed	YBR233W
P69850	reviewed	YBR233W-A
P38328	reviewed	YBR234C
P38329	reviewed	YBR235W
P32783	reviewed	YBR236C
P21372	reviewed	YBR237W
P38330	reviewed	YBR238C
P38140	reviewed	YBR239C
P38141	reviewed	YBR240C
P38142	reviewed	YBR241C
P38331	reviewed	YBR242W
P07286	reviewed	YBR243C
P38143	reviewed	YBR244W
P38144	reviewed	YBR245C
P38332	reviewed	YBR246W
P38333	reviewed	YBR247C
P33734	reviewed	YBR248C
P32449	reviewed	YBR249C
P33757	reviewed	YBR250W
P33759	reviewed	YBR251W
P33317	reviewed	YBR252W
P32570	reviewed	YBR253W
P38334	reviewed	YBR254C
Q3E776	reviewed	YBR255C-A
P38335	reviewed	YBR255W
P38145	reviewed	YBR256C
P38336	reviewed	YBR257W
P38337	reviewed	YBR258C
P38338	reviewed	YBR259W
P38339	reviewed	YBR260C
P38340	reviewed	YBR261C
P38341	reviewed	YBR262C
P37292	reviewed	YBR263W
P38146	reviewed	YBR264C
P38342	reviewed	YBR265W
P38344	reviewed	YBR267W
P36532	reviewed	YBR268W
P38345	reviewed	YBR269C
P38346	reviewed	YBR270C
P38347	reviewed	YBR271W
P38348	reviewed	YBR272C
P38349	reviewed	YBR273C
P38147	reviewed	YBR274W
P29539	reviewed	YBR275C
P38148	reviewed	YBR276C
P27344	reviewed	YBR278W
P38351	reviewed	YBR279W
P38352	reviewed	YBR280C
P38149	reviewed	YBR281C
P36526	reviewed	YBR282W
P38353	reviewed	YBR283C
P38150	reviewed	YBR284W
P38354	reviewed	YBR285W
P37302	reviewed	YBR286W
P38355	reviewed	YBR287W
P38153	reviewed	YBR288C
P18480	reviewed	YBR289W
P38356	reviewed	YBR290W
P38152	reviewed	YBR291C
P38358	reviewed	YBR293W
P38359	reviewed	YBR294W
P38360	reviewed	YBR295W
P38361	reviewed	YBR296C
Q8TGU5	reviewed	YBR296C-A
P38157	reviewed	YBR297W
P38156	reviewed	YBR298C
Q8TGK4	reviewed	YBR298C-A
P38158	reviewed	YBR299W
P38155	reviewed	YBR301W
P25560	reviewed	YCL001W
P87012	reviewed	YCL001W-A
Q96VH2	reviewed	YCL001W-B
P25565	reviewed	YCL002C
P25578	reviewed	YCL004W
P25587	reviewed	YCL005W
Q3E7B6	reviewed	YCL005W-A
P25604	reviewed	YCL008C
P25605	reviewed	YCL009C
P25554	reviewed	YCL010C
P25555	reviewed	YCL011C
Q8J0M4	reviewed	YCL012C
P25558	reviewed	YCL014W
P25559	reviewed	YCL016C
P25374	reviewed	YCL017C
P04173	reviewed	YCL018W
Q96VH3	reviewed	YCL021W-A
P25389	reviewed	YCL024W
P25376	reviewed	YCL025C
P37261	reviewed	YCL026C-A
Q96VH4	reviewed	YCL026C-B
P11710	reviewed	YCL027W
P25367	reviewed	YCL028W
P11709	reviewed	YCL029C
P00815	reviewed	YCL030C
P25368	reviewed	YCL031C
P25344	reviewed	YCL032W
P25566	reviewed	YCL033C
P25369	reviewed	YCL034W
P25373	reviewed	YCL035C
P25370	reviewed	YCL036W
P25567	reviewed	YCL037C
P25568	reviewed	YCL038C
P25569	reviewed	YCL039W
P17709	reviewed	YCL040W
P25572	reviewed	YCL042W
P17967	reviewed	YCL043C
P25573	reviewed	YCL044C
P25574	reviewed	YCL045C
P25576	reviewed	YCL047C
P25380	reviewed	YCL048W
Q2V2Q2	reviewed	YCL048W-A
P25577	reviewed	YCL049C
P16550	reviewed	YCL050C
P25579	reviewed	YCL051W
P25580	reviewed	YCL052C
P25582	reviewed	YCL054W
P25583	reviewed	YCL055W
P25584	reviewed	YCL056C
Q96VH5	reviewed	YCL057C-A
P25375	reviewed	YCL057W
P25585	reviewed	YCL058C
Q2V2Q1	reviewed	YCL058W-A
P25586	reviewed	YCL059C
P25588	reviewed	YCL061C
P25591	reviewed	YCL063W
P25379	reviewed	YCL064C
P25593	reviewed	YCL068C
P25594	reviewed	YCL069W
P25596	reviewed	YCL073C
P25342	reviewed	YCR002C
P25348	reviewed	YCR003W
P25349	reviewed	YCR004C
P08679	reviewed	YCR005C
P25354	reviewed	YCR007C
P25333	reviewed	YCR008W
P25343	reviewed	YCR009C
P25613	reviewed	YCR010C
P25371	reviewed	YCR011C
P00560	reviewed	YCR012W
P25615	reviewed	YCR014C
P25616	reviewed	YCR015C
P25617	reviewed	YCR016W
P25618	reviewed	YCR017C
P09007	reviewed	YCR018C
P23060	reviewed	YCR019W
P25362	reviewed	YCR020C
P23059	reviewed	YCR020C-A
Q9URQ5	reviewed	YCR020W-B
P25619	reviewed	YCR021C
P25351	reviewed	YCR023C
P25345	reviewed	YCR024C
P32903	reviewed	YCR024C-A
Q3E7Z8	reviewed	YCR024C-B
P25353	reviewed	YCR026C
P25378	reviewed	YCR027C
P25621	reviewed	YCR028C
P32445	reviewed	YCR028C-A
P25623	reviewed	YCR030C
P06367	reviewed	YCR031C
P25356	reviewed	YCR032W
P25357	reviewed	YCR033W
P25358	reviewed	YCR034W
P25359	reviewed	YCR035C
P25332	reviewed	YCR036W
P25360	reviewed	YCR037C
P25300	reviewed	YCR038C
P0CY08	reviewed	YCL067C,YCR039C
P0CY09	reviewed	YCL067C,YCR039C
P0CY06	reviewed	YCL066W,YCR040W
P0CY07	reviewed	YCL066W,YCR040W
P37265	reviewed	YCR041W
P23255	reviewed	YCR042C
P25361	reviewed	YCR043C
P25625	reviewed	YCR044C
P25381	reviewed	YCR045C
P25626	reviewed	YCR046C
P25627	reviewed	YCR047C
P25628	reviewed	YCR048W
P25630	reviewed	YCR050C
P25631	reviewed	YCR051W
