Entry	Status	yourlist:M201904245C475328CEF75220C360D524E9D456CE077D18J
Q07786	reviewed	YDL246C
P0CD99	reviewed	YDL247W
Q07788	reviewed	YDL248W
P32356	reviewed	YDR001C
P41920	reviewed	YDR002W
Q03446	reviewed	YDR003W
Q3E7Z7	reviewed	YDR003W-A
P25301	reviewed	YDR004W
P41910	reviewed	YDR005C
P40317	reviewed	YDR006C
P00912	reviewed	YDR007W
P13045	reviewed	YDR009W
P32568	reviewed	YDR011W
P49626	reviewed	YDR012W
Q12488	reviewed	YDR013W
Q99359	reviewed	YDR014W
Q03937	reviewed	YDR014W-A
Q12248	reviewed	YDR016C
Q12494	reviewed	YDR017C
Q12185	reviewed	YDR018C
P48015	reviewed	YDR019C
Q12084	reviewed	YDR020C
Q12099	reviewed	YDR021W
Q12421	reviewed	YDR022C
P07284	reviewed	YDR023W
P0CX47	reviewed	YBR048W,YDR025W
P0CX48	reviewed	YBR048W,YDR025W
Q12457	reviewed	YDR026C
Q12071	reviewed	YDR027C
Q00816	reviewed	YDR028C
Q12021	reviewed	YDR030C
Q04341	reviewed	YDR031W
Q12335	reviewed	YDR032C
Q12117	reviewed	YDR033W
P40971	reviewed	YDR034C
P0C289	reviewed	YDR034C-A
Q6Q5X2	reviewed	YDR034W-B
P14843	reviewed	YDR035W
P28817	reviewed	YDR036C
P15180	reviewed	YDR037W
Q12691	reviewed	YDR038C
Q01896	reviewed	YDR039C
P13587	reviewed	YDR040C
Q03201	reviewed	YDR041W
Q03205	reviewed	YDR042C
Q03125	reviewed	YDR043C
P11353	reviewed	YDR044W
Q04307	reviewed	YDR045C
P41815	reviewed	YDR046C
P32347	reviewed	YDR047W
Q04311	reviewed	YDR049W
P00942	reviewed	YDR050C
Q99288	reviewed	YDR051C
P32325	reviewed	YDR052C
P14682	reviewed	YDR054C
Q12355	reviewed	YDR055W
Q12025	reviewed	YDR056C
Q99220	reviewed	YDR057W
P54857	reviewed	YDR058C
P15732	reviewed	YDR059C
Q12176	reviewed	YDR060W
Q12298	reviewed	YDR061W
P40970	reviewed	YDR062W
Q12156	reviewed	YDR063W
P05756	reviewed	YDR064W
Q12167	reviewed	YDR065W
Q12378	reviewed	YDR066C
Q12454	reviewed	YDR067C
P54858	reviewed	YDR068W
P32571	reviewed	YDR069C
Q12497	reviewed	YDR070C
Q12447	reviewed	YDR071C
P38954	reviewed	YDR072C
P38956	reviewed	YDR073W
P31688	reviewed	YDR074W
P32345	reviewed	YDR075W
P38953	reviewed	YDR076W
Q01589	reviewed	YDR077W
P38957	reviewed	YDR078C
Q3E7C1	reviewed	YDR079C-A
P38958	reviewed	YDR079W
P38959	reviewed	YDR080W
P32896	reviewed	YDR081C
P38960	reviewed	YDR082W
P38961	reviewed	YDR083W
P38962	reviewed	YDR084C
P33304	reviewed	YDR085C
P35179	reviewed	YDR086C
P35178	reviewed	YDR087C
Q02775	reviewed	YDR088C
P38966	reviewed	YDR089W
Q03193	reviewed	YDR090C
Q03195	reviewed	YDR091C
P52490	reviewed	YDR092W
Q12675	reviewed	YDR093W
Q03833	reviewed	YDR096W
Q03834	reviewed	YDR097C
Q03835	reviewed	YDR098C
P34730	reviewed	YDR099W
Q03860	reviewed	YDR100W
Q03862	reviewed	YDR101C
P32917	reviewed	YDR103W
Q03868	reviewed	YDR104C
Q12116	reviewed	YDR105C
Q04549	reviewed	YDR106W
Q04562	reviewed	YDR107C
P46944	reviewed	YDR108W
Q04585	reviewed	YDR109C
O13329	reviewed	YDR110W
P52892	reviewed	YDR111C
P40316	reviewed	YDR113C
Q04597	reviewed	YDR114C
Q04598	reviewed	YDR115W
Q04599	reviewed	YDR116C
Q04600	reviewed	YDR117C
Q04601	reviewed	YDR118W
Q04602	reviewed	YDR119W
Q2V2P9	reviewed	YDR119W-A
P15565	reviewed	YDR120C
Q04603	reviewed	YDR121W
P13185	reviewed	YDR122W
P26798	reviewed	YDR123C
Q04608	reviewed	YDR124W
Q04623	reviewed	YDR125C
Q04629	reviewed	YDR126W
P08566	reviewed	YDR127W
Q03897	reviewed	YDR128W
P32599	reviewed	YDR129C
Q03898	reviewed	YDR130C
Q03899	reviewed	YDR131C
Q03900	reviewed	YDR132C
P39109	reviewed	YDR135C
P16664	reviewed	YDR137W
P17629	reviewed	YDR138W
Q03919	reviewed	YDR139C
Q03920	reviewed	YDR140W
Q03921	reviewed	YDR141C
P39108	reviewed	YDR142C
P22470	reviewed	YDR143C
P53379	reviewed	YDR144C
Q03761	reviewed	YDR145W
P08153	reviewed	YDR146C
Q03764	reviewed	YDR147W
P19262	reviewed	YDR148C
Q00402	reviewed	YDR150W
P47976	reviewed	YDR151C
Q03768	reviewed	YDR152W
Q03769	reviewed	YDR153C
P14832	reviewed	YDR155C
P50106	reviewed	YDR156W
P13663	reviewed	YDR158W
P46674	reviewed	YDR159W
Q03770	reviewed	YDR160W
Q03771	reviewed	YDR161W
Q12163	reviewed	YDR162C
Q03772	reviewed	YDR163W
P30619	reviewed	YDR164C
Q03774	reviewed	YDR165W
P89102	reviewed	YDR166C
Q12030	reviewed	YDR167W
P06101	reviewed	YDR168W
Q12427	reviewed	YDR169C
Q3E789	reviewed	YDR169C-A
P11075	reviewed	YDR170C
Q12329	reviewed	YDR171W
P05453	reviewed	YDR172W
P07250	reviewed	YDR173C
Q03973	reviewed	YDR174W
Q03976	reviewed	YDR175C
P32494	reviewed	YDR176W
P21734	reviewed	YDR177W
P37298	reviewed	YDR178W
Q03981	reviewed	YDR179C
Q03983	reviewed	YDR179W-A
Q04002	reviewed	YDR180W
Q04003	reviewed	YDR181C
P40986	reviewed	YDR182W
Q3E796	reviewed	YDR182W-A
Q04004	reviewed	YDR183W
Q04005	reviewed	YDR184C
Q04006	reviewed	YDR185C
Q04007	reviewed	YDR186C
P39079	reviewed	YDR188W
P22213	reviewed	YDR189W
Q03940	reviewed	YDR190C
P53688	reviewed	YDR191W
P49686	reviewed	YDR192C
P15424	reviewed	YDR194C
Q3E818	reviewed	YDR194W-A
P42073	reviewed	YDR195W
Q03941	reviewed	YDR196C
P14905	reviewed	YDR197W
Q03942	reviewed	YDR198C
Q03944	reviewed	YDR200C
Q03954	reviewed	YDR201W
Q03956	reviewed	YDR202C
O13525	reviewed	YDR204W
Q03455	reviewed	YDR205W
Q03466	reviewed	YDR206W
P39001	reviewed	YDR207C
P38994	reviewed	YDR208W
Q03482	reviewed	YDR210W
P32501	reviewed	YDR211W
P12612	reviewed	YDR212W
Q12151	reviewed	YDR213W
Q12449	reviewed	YDR214W
P07248	reviewed	YDR216W
P14737	reviewed	YDR217C
Q04921	reviewed	YDR218C
Q04922	reviewed	YDR219C
Q04924	reviewed	YDR221W
Q04925	reviewed	YDR222W
Q04930	reviewed	YDR223W
P02293	reviewed	YDR224C
P04911	reviewed	YDR225W
P07170	reviewed	YDR226W
P11978	reviewed	YDR227W
P39081	reviewed	YDR228C
Q04934	reviewed	YDR229W
Q04935	reviewed	YDR231C
P09950	reviewed	YDR232W
Q04947	reviewed	YDR233C
P49367	reviewed	YDR234W
Q03776	reviewed	YDR235W
Q03778	reviewed	YDR236C
P36519	reviewed	YDR237W
P41810	reviewed	YDR238C
Q03780	reviewed	YDR239C
Q03782	reviewed	YDR240C
P22580	reviewed	YDR242W
P23394	reviewed	YDR243C
P35056	reviewed	YDR244W
P50108	reviewed	YDR245W
Q03784	reviewed	YDR246W
Q3E763	reviewed	YDR246W-A
Q03785	reviewed	YDR247W
Q03786	reviewed	YDR248C
Q03787	reviewed	YDR249C
P37304	reviewed	YDR251W
P40314	reviewed	YDR252W
Q12041	reviewed	YDR253C
P38907	reviewed	YDR254W
Q12508	reviewed	YDR255C
P15202	reviewed	YDR256C
Q12504	reviewed	YDR257C
P33416	reviewed	YDR258C
Q03935	reviewed	YDR259C
Q12379	reviewed	YDR260C
P52911	reviewed	YDR261C
Q12331	reviewed	YDR262W
Q12086	reviewed	YDR263C
P39010	reviewed	YDR264C
Q05568	reviewed	YDR265W
Q05580	reviewed	YDR266C
Q05583	reviewed	YDR267C
P04803	reviewed	YDR268W
P38995	reviewed	YDR270W
Q05584	reviewed	YDR272W
Q05610	reviewed	YDR273W
Q05611	reviewed	YDR275W
P87284	reviewed	YDR276C
P35198	reviewed	YDR277C
Q05635	reviewed	YDR279W
Q05636	reviewed	YDR280W
Q05637	reviewed	YDR281C
Q05648	reviewed	YDR282C
P15442	reviewed	YDR283C
Q05521	reviewed	YDR284C
P31111	reviewed	YDR285W
Q05530	reviewed	YDR286C
Q05533	reviewed	YDR287W
Q05541	reviewed	YDR288W
Q05543	reviewed	YDR289C
Q05549	reviewed	YDR291W
P32916	reviewed	YDR292C
P24276	reviewed	YDR293C
Q05567	reviewed	YDR294C
Q06629	reviewed	YDR295C
Q06630	reviewed	YDR296W
P38992	reviewed	YDR297W
P09457	reviewed	YDR298C
Q06631	reviewed	YDR299W
P32264	reviewed	YDR300C
Q06632	reviewed	YDR301W
Q06636	reviewed	YDR302W
Q06639	reviewed	YDR303C
P35176	reviewed	YDR304C
Q06640	reviewed	YDR306C
Q06644	reviewed	YDR307W
P47822	reviewed	YDR308C
Q06648	reviewed	YDR309C
P46676	reviewed	YDR310C
P32776	reviewed	YDR311W
Q12153	reviewed	YDR312W
Q06651	reviewed	YDR313C
Q06665	reviewed	YDR314C
Q06667	reviewed	YDR315C
Q06668	reviewed	YDR316W
Q06674	reviewed	YDR317W
Q06675	reviewed	YDR318W
Q06676	reviewed	YDR319C
Q06677	reviewed	YDR320C
P69851	reviewed	YDR320C-A
P38986	reviewed	YDR321W
P81449	reviewed	YDR322C-A
Q06678	reviewed	YDR322W
P32609	reviewed	YDR323C
Q06679	reviewed	YDR324C
Q06680	reviewed	YDR325W
Q06681	reviewed	YDR326C
P52286	reviewed	YDR328C
P28795	reviewed	YDR329C
Q06682	reviewed	YDR330W
P49018	reviewed	YDR331W
Q06683	reviewed	YDR332W
Q05468	reviewed	YDR333C
Q05471	reviewed	YDR334W
P52918	reviewed	YDR335W
Q05473	reviewed	YDR336W
P21771	reviewed	YDR337W
Q05497	reviewed	YDR338C
Q05498	reviewed	YDR339C
Q05506	reviewed	YDR341C
P39004	reviewed	YDR342C
P39003	reviewed	YDR343C
P32466	reviewed	YDR345C
Q05515	reviewed	YDR346C
P10662	reviewed	YDR347W
Q05518	reviewed	YDR348C
Q06325	reviewed	YDR349C
P50273	reviewed	YDR350C
P42223	reviewed	YDR351W
Q06328	reviewed	YDR352W
P29509	reviewed	YDR353W
P07285	reviewed	YDR354W
P32380	reviewed	YDR356W
Q06333	reviewed	YDR357C
Q06336	reviewed	YDR358W
Q06337	reviewed	YDR359C
Q06338	reviewed	YDR361C
Q06339	reviewed	YDR362C
Q06340	reviewed	YDR363W
O94742	reviewed	YDR363W-A
P40968	reviewed	YDR364C
Q06344	reviewed	YDR365C
P87287	reviewed	YDR366C
Q06346	reviewed	YDR367W
Q12458	reviewed	YDR368W
P33301	reviewed	YDR369C
Q06349	reviewed	YDR370C
Q06350	reviewed	YDR371W
Q06385	reviewed	YDR372C
Q06389	reviewed	YDR373W
Q06390	reviewed	YDR374C
Q2V2P8	reviewed	YDR374W-A
P32839	reviewed	YDR375C
P48360	reviewed	YDR376W
Q06405	reviewed	YDR377W
Q06406	reviewed	YDR378C
Q3E785	reviewed	YDR379C-A
Q06407	reviewed	YDR379W
Q06408	reviewed	YDR380W
Q3E6R5	reviewed	YDR381C-A
Q12159	reviewed	YDR381W
P02400	reviewed	YDR382W
Q12493	reviewed	YDR383C
Q12359	reviewed	YDR384C
Q04149	reviewed	YDR386W
Q04162	reviewed	YDR387C
P39743	reviewed	YDR388W
P17121	reviewed	YDR389W
P52488	reviewed	YDR390C
Q04170	reviewed	YDR391C
P06844	reviewed	YDR392W
Q04172	reviewed	YDR393W
P33298	reviewed	YDR394W
Q04175	reviewed	YDR395W
Q92317	reviewed	YDR397C
Q04177	reviewed	YDR398W
Q04178	reviewed	YDR399W
Q04179	reviewed	YDR400W
P21595	reviewed	YDR402C
P21623	reviewed	YDR403W
P34087	reviewed	YDR404C
P32387	reviewed	YDR405W
Q04182	reviewed	YDR406W
Q04183	reviewed	YDR407C
P04161	reviewed	YDR408C
Q04195	reviewed	YDR409W
P32584	reviewed	YDR410C
Q12743	reviewed	YDR411C
Q04031	reviewed	YDR412W
P16151	reviewed	YDR414C
Q04033	reviewed	YDR415C
Q04048	reviewed	YDR416W
Q04049	reviewed	YDR419W
P41809	reviewed	YDR420W
Q04052	reviewed	YDR421W
P32578	reviewed	YDR422C
P24813	reviewed	YDR423C
Q02647	reviewed	YDR424C
Q04053	reviewed	YDR425W
Q04062	reviewed	YDR427W
Q04066	reviewed	YDR428C
Q04067	reviewed	YDR429C
P32898	reviewed	YDR430C
Q01560	reviewed	YDR432W
Q04080	reviewed	YDR434W
Q04081	reviewed	YDR435C
P33329	reviewed	YDR436W
Q04082	reviewed	YDR437W
Q04083	reviewed	YDR438W
Q04087	reviewed	YDR439W
Q04089	reviewed	YDR440W
P36973	reviewed	YDR441C
P38931	reviewed	YDR443C
Q04093	reviewed	YDR444W
Q04110	reviewed	YDR446W
P14127	reviewed	YDR447C
Q02336	reviewed	YDR448W
Q02354	reviewed	YDR449C
Q04116	reviewed	YDR451C
Q04119	reviewed	YDR452W
Q04120	reviewed	YDR453C
P15454	reviewed	YDR454C
Q04121	reviewed	YDR456W
Q03280	reviewed	YDR457W
Q03281	reviewed	YDR458C
Q03289	reviewed	YDR459C
Q03290	reviewed	YDR460W
Q2V2P7	reviewed	YDR461C-A
P34165	reviewed	YDR461W
P36527	reviewed	YDR462W
Q00947	reviewed	YDR463W
P38904	reviewed	YDR464W
Q03305	reviewed	YDR465C
Q03306	reviewed	YDR466W
Q03322	reviewed	YDR468C
Q03323	reviewed	YDR469W
Q03327	reviewed	YDR470C
P0C2H7	reviewed	YDR471W
Q03337	reviewed	YDR472W
Q03338	reviewed	YDR473C
Q03361	reviewed	YDR475C
Q03362	reviewed	YDR476C
P06782	reviewed	YDR477W
P40993	reviewed	YDR478W
Q03370	reviewed	YDR479C
Q03373	reviewed	YDR480W
P11491	reviewed	YDR481C
Q03375	reviewed	YDR482C
P27809	reviewed	YDR483W
P39904	reviewed	YDR484W
Q03388	reviewed	YDR485C
Q03390	reviewed	YDR486C
Q99258	reviewed	YDR487C
P40960	reviewed	YDR488C
Q03406	reviewed	YDR489W
Q03407	reviewed	YDR490C
Q03419	reviewed	YDR492W
Q03429	reviewed	YDR493W
Q03430	reviewed	YDR494W
P23643	reviewed	YDR495C
Q04373	reviewed	YDR496C
P30605	reviewed	YDR497C
P28791	reviewed	YDR498C
Q04377	reviewed	YDR499W
P51402	reviewed	YDR500C
Q04383	reviewed	YDR501W
P19358	reviewed	YDR502C
Q04396	reviewed	YDR503C
Q04398	reviewed	YDR504C
P50896	reviewed	YDR505C
Q04399	reviewed	YDR506C
Q12263	reviewed	YDR507C
P48813	reviewed	YDR508C
Q12306	reviewed	YDR510W
Q04401	reviewed	YDR511W
Q04406	reviewed	YDR512C
P17695	reviewed	YDR513W
Q04408	reviewed	YDR514C
Q12034	reviewed	YDR515W
Q04409	reviewed	YDR516C
Q04410	reviewed	YDR517W
P32474	reviewed	YDR518W
P32472	reviewed	YDR519W
Q04411	reviewed	YDR520C
P08459	reviewed	YDR522C
P08458	reviewed	YDR523C
Q04412	reviewed	YDR524C
Q3E6R4	reviewed	YDR524C-B
P0C1Z1	reviewed	YDR524W-C
P56508	reviewed	YDR525W-A
Q04418	reviewed	YDR527W
Q04429	reviewed	YDR528W
P00128	reviewed	YDR529C
P22108	reviewed	YDR530C
Q04430	reviewed	YDR531W
Q04431	reviewed	YDR532C
Q04432	reviewed	YDR533C
Q04433	reviewed	YDR534C
P39932	reviewed	YDR536W
P33751	reviewed	YDR538W
Q03034	reviewed	YDR539W
Q03036	reviewed	YDR540C
Q03049	reviewed	YDR541C
Q03050	reviewed	YDR542W
P40006	reviewed	YEL001C
P33767	reviewed	YEL002C
P40005	reviewed	YEL003W
P40004	reviewed	YEL004W
P40003	reviewed	YEL005C
P39953	reviewed	YEL006W
P40002	reviewed	YEL007W
P03069	reviewed	YEL009C
P32775	reviewed	YEL011W
P28263	reviewed	YEL012W
P39968	reviewed	YEL013W
P39998	reviewed	YEL015W
P39997	reviewed	YEL016C
P40975	reviewed	YEL017C-A
P39996	reviewed	YEL017W
P39995	reviewed	YEL018W
P38632	reviewed	YEL019C
P39994	reviewed	YEL020C
O74700	reviewed	YEL020W-A
P03962	reviewed	YEL021W
P39993	reviewed	YEL022W
P39992	reviewed	YEL023C
P08067	reviewed	YEL024W
P39991	reviewed	YEL025C
P39990	reviewed	YEL026W
P25515	reviewed	YEL027W
P39988	reviewed	YEL029C
P39987	reviewed	YEL030W
P39986	reviewed	YEL031W
P24279	reviewed	YEL032W
P32633	reviewed	YEL033W
P23301	reviewed	YEL034W
P32630	reviewed	YEL035C
P32629	reviewed	YEL036C
P32628	reviewed	YEL037C
P32626	reviewed	YEL038W
P00045	reviewed	YEL039C
P32623	reviewed	YEL040W
P32622	reviewed	YEL041W
P32621	reviewed	YEL042W
P32618	reviewed	YEL043W
P32617	reviewed	YEL044W
P37303	reviewed	YEL046C
P32614	reviewed	YEL047C
P32613	reviewed	YEL048C
P32612	reviewed	YEL049W
P32611	reviewed	YEL050C
P32610	reviewed	YEL051W
P32317	reviewed	YEL052W
Q02197	reviewed	YEL053C
P0CX53	reviewed	YDR418W,YEL054C
P0CX54	reviewed	YDR418W,YEL054C
P39985	reviewed	YEL055C
P39984	reviewed	YEL056W
P39983	reviewed	YEL057C
P38628	reviewed	YEL058W
Q05676	reviewed	YEL059C-A
P09232	reviewed	YEL060C
P27895	reviewed	YEL061C
P39923	reviewed	YEL062W
P04817	reviewed	YEL063C
P39981	reviewed	YEL064C
P39980	reviewed	YEL065W
P39978	reviewed	YEL067C
P39977	reviewed	YEL068C
P39924	reviewed	YEL069C
P39976	reviewed	YEL071W
P39975	reviewed	YEL072W
P39974	reviewed	YEL073C
P39972	reviewed	YEL075C
P39971	reviewed	YEL076C
Q3E7X8	reviewed	YEL077C
P39106	reviewed	YER001W
P40007	reviewed	YER002W
P29952	reviewed	YER003C
P40008	reviewed	YER004W
P40009	reviewed	YER005W
P40010	reviewed	YER006W
P89886	reviewed	YER007C-A
P39937	reviewed	YER007W
P33332	reviewed	YER008C
P33331	reviewed	YER009W
P40011	reviewed	YER010C
P10863	reviewed	YER011W
P22141	reviewed	YER012W
P24384	reviewed	YER013W
P85052	reviewed	YER014C-A
P40012	reviewed	YER014W
P39518	reviewed	YER015W
P40013	reviewed	YER016W
P39925	reviewed	YER017C
P40014	reviewed	YER018C
P52871	reviewed	YER019C-A
P40015	reviewed	YER019W
P10823	reviewed	YER020W
P40016	reviewed	YER021W
P32569	reviewed	YER022W
P32263	reviewed	YER023W
P40017	reviewed	YER024W
P32481	reviewed	YER025W
P08456	reviewed	YER026C
Q04739	reviewed	YER027C
P39943	reviewed	YER028C
P40018	reviewed	YER029C
P40019	reviewed	YER030W
P38555	reviewed	YER031C
P40020	reviewed	YER032W
P40021	reviewed	YER033C
P40022	reviewed	YER034W
P40023	reviewed	YER035W
P40024	reviewed	YER036C
P40025	reviewed	YER037W
P40026	reviewed	YER038C
P0CE11	reviewed	YER039C
P0CD97	reviewed	YER039C-A
P18494	reviewed	YER040W
P40028	reviewed	YER041W
P40029	reviewed	YER042W
P39954	reviewed	YER043C
P40030	reviewed	YER044C
P29467	reviewed	YER044C-A
P39970	reviewed	YER045C
P40031	reviewed	YER046W
P39955	reviewed	YER047C
P39101	reviewed	YER048C
Q6Q560	reviewed	YER048W-A
P40032	reviewed	YER049W
P40033	reviewed	YER050C
P40034	reviewed	YER051W
P10869	reviewed	YER052C
P40035	reviewed	YER053C
Q3E7B0	reviewed	YER053C-A
P40036	reviewed	YER054C
P00498	reviewed	YER055C
P17064	reviewed	YER056C
P87262	reviewed	YER056C-A
P40037	reviewed	YER057C
Q02771	reviewed	YER058W
P40038	reviewed	YER059W
P40039	reviewed	YER060W
Q12119	reviewed	YER060W-A
P39525	reviewed	YER061C
P40106	reviewed	YER062C
P40040	reviewed	YER063W
P40041	reviewed	YER064C
P28240	reviewed	YER065C
P40042	reviewed	YER066W
P40043	reviewed	YER067W
P34909	reviewed	YER068W
Q01217	reviewed	YER069W
P21524	reviewed	YER070W
P40045	reviewed	YER071C
P40046	reviewed	YER072W
P40047	reviewed	YER073W
Q3E834	reviewed	YER074W-A
P40048	reviewed	YER075C
P40049	reviewed	YER076C
P40050	reviewed	YER077C
P40051	reviewed	YER078C
Q3E7A2	reviewed	YER078W-A
P40052	reviewed	YER079W
P40053	reviewed	YER080W
P40054	reviewed	YER081W
P40055	reviewed	YER082C
P40056	reviewed	YER083C
P40057	reviewed	YER084W
P40058	reviewed	YER085C
P00927	reviewed	YER086W
P52870	reviewed	YER087C-B
P39965	reviewed	YER087W
P40059	reviewed	YER088C
P39966	reviewed	YER089C
P00899	reviewed	YER090W
P05694	reviewed	YER091C
P40060	reviewed	YER092W
P40061	reviewed	YER093C
P87275	reviewed	YER093C-A
P25451	reviewed	YER094C
P25454	reviewed	YER095W
P39000	reviewed	YER096W
P39967	reviewed	YER098W
P38620	reviewed	YER099C
P33296	reviewed	YER100W
P39945	reviewed	YER101C
P0CX39	reviewed	YBL072C,YER102W
P0CX40	reviewed	YBL072C,YER102W
P22202	reviewed	YER103W
P40063	reviewed	YER104W
P40064	reviewed	YER105C
P40065	reviewed	YER106W
P40066	reviewed	YER107C
P40069	reviewed	YER110C
P25302	reviewed	YER111C
P40070	reviewed	YER112W
P40071	reviewed	YER113C
P39969	reviewed	YER114C
Q01684	reviewed	YER115C
P40072	reviewed	YER116C
P0CX41	reviewed	YBL087C,YER117W
P0CX42	reviewed	YBL087C,YER117W
P40073	reviewed	YER118C
P40074	reviewed	YER119C
P40075	reviewed	YER120W
P40076	reviewed	YER121W
P38682	reviewed	YER122C
P39962	reviewed	YER123W
P40077	reviewed	YER124C
P39940	reviewed	YER125W
P40078	reviewed	YER126C
P40079	reviewed	YER127W
P40080	reviewed	YER128W
P38990	reviewed	YER129W
P39959	reviewed	YER130C
P39939	reviewed	YER131W
P32634	reviewed	YER132C
P32598	reviewed	YER133W
P40081	reviewed	YER134C
P39958	reviewed	YER136W
P40083	reviewed	YER137C
P40084	reviewed	YER139C
P40085	reviewed	YER140W
P40086	reviewed	YER141W
P22134	reviewed	YER142C
P40087	reviewed	YER143W
P39944	reviewed	YER144C
P40088	reviewed	YER145C
P40089	reviewed	YER146W
P40090	reviewed	YER147C
P13393	reviewed	YER148W
P40091	reviewed	YER149C
P40092	reviewed	YER150W
Q01477	reviewed	YER151C
P10356	reviewed	YER152C
P10355	reviewed	YER153C
P39952	reviewed	YER154W
P39960	reviewed	YER155C
P40093	reviewed	YER156C
P40094	reviewed	YER157W
P40095	reviewed	YER158C
P40096	reviewed	YER159C
P06843	reviewed	YER161C
P14736	reviewed	YER162C
P32656	reviewed	YER163C
P32657	reviewed	YER164W
P04147	reviewed	YER165W
P32660	reviewed	YER166W
P33306	reviewed	YER167W
P21269	reviewed	YER168C
P39956	reviewed	YER169W
P26364	reviewed	YER170W
P06839	reviewed	YER171W
P32639	reviewed	YER172C
P32641	reviewed	YER173W
P32642	reviewed	YER174C
P32643	reviewed	YER175C
Q8TGU4	reviewed	YER175W-A
P32644	reviewed	YER176W
P29311	reviewed	YER177W
P16387	reviewed	YER178W
P25453	reviewed	YER179W
P32645	reviewed	YER180C
Q3E784	reviewed	YER180C-A
P40098	reviewed	YER182W
P40099	reviewed	YER183C
P39961	reviewed	YER184C
P40100	reviewed	YER185W
P40101	reviewed	YER186C
P40102	reviewed	YER187W
P0C0V2	reviewed	YER188C-A
P40104	reviewed	YER189W
P40105	reviewed	YER190W
P31115	reviewed	YFL001W
P25808	reviewed	YFL002C
P40965	reviewed	YFL003C
P43585	reviewed	YFL004W
P07560	reviewed	YFL005W
P43583	reviewed	YFL007W
P32908	reviewed	YFL008W
P07834	reviewed	YFL009W
P43582	reviewed	YFL010C
P32450	reviewed	YFL010W-A
P43581	reviewed	YFL011W
P43580	reviewed	YFL012W
P43579	reviewed	YFL013C
P22943	reviewed	YFL014W
P35191	reviewed	YFL016C
P43577	reviewed	YFL017C
P40204	reviewed	YFL017W-A
P09624	reviewed	YFL018C
P43575	reviewed	YFL020C
P43574	reviewed	YFL021W
P15625	reviewed	YFL022C
P43573	reviewed	YFL023W
P43572	reviewed	YFL024C
P43571	reviewed	YFL025C
D6VTK4	reviewed	YFL026W
P43570	reviewed	YFL027C
P43569	reviewed	YFL028C
P43568	reviewed	YFL029C
P43567	reviewed	YFL030W
P41546	reviewed	YFL031W
P43565	reviewed	YFL033C
P56628	reviewed	YFL034C-A
P43563	reviewed	YFL034C-B
P43564	reviewed	YFL034W
P13433	reviewed	YFL036W
P02557	reviewed	YFL037W
P01123	reviewed	YFL038C
P60010	reviewed	YFL039C
P43562	reviewed	YFL040W
P43561	reviewed	YFL041W
Q3E817	reviewed	YFL041W-A
P43560	reviewed	YFL042C
P43558	reviewed	YFL044C
P07283	reviewed	YFL045C
P43557	reviewed	YFL046W
P43556	reviewed	YFL047W
P43555	reviewed	YFL048C
P43554	reviewed	YFL049W
P43553	reviewed	YFL050C
P43552	reviewed	YFL051C
P43551	reviewed	YFL052W
P43550	reviewed	YFL053W
P43549	reviewed	YFL054C
P43548	reviewed	YFL055W
P43534	reviewed	YFL058W
P43545	reviewed	YFL059W
P43544	reviewed	YFL060C
P43542	reviewed	YFL062W
P43540	reviewed	YFL064C
P43539	reviewed	YFL065C
P43538	reviewed	YFL066C
P43537	reviewed	YFL067W
P0CX99	reviewed	YFL068W
P0CY00	reviewed	YFL068W
P0CY01	reviewed	YFL068W
P43586	reviewed	YFR001W
P34077	reviewed	YFR002W
P43587	reviewed	YFR003C
P43588	reviewed	YFR004W
P43589	reviewed	YFR005C
P43590	reviewed	YFR006W
P43591	reviewed	YFR007W
P43592	reviewed	YFR008W
P43535	reviewed	YFR009W
P43593	reviewed	YFR010W
P43594	reviewed	YFR011C
P43595	reviewed	YFR012W
P43596	reviewed	YFR013W
P27466	reviewed	YFR014C
P23337	reviewed	YFR015C
P43597	reviewed	YFR016C
P43598	reviewed	YFR017C
P43599	reviewed	YFR018C
P34756	reviewed	YFR019W
P43600	reviewed	YFR020W
P43601	reviewed	YFR021W
P43602	reviewed	YFR022W
P39684	reviewed	YFR023W
P43603	reviewed	YFR024C-A
P38635	reviewed	YFR025C
P43604	reviewed	YFR026C
P43605	reviewed	YFR027W
Q00684	reviewed	YFR028C
P43606	reviewed	YFR029W
P39692	reviewed	YFR030W
P38989	reviewed	YFR031C
P43607	reviewed	YFR032C
P05747	reviewed	YFR032C-A
Q8TGU2	reviewed	YFR032C-B
P00127	reviewed	YFR033C
P07270	reviewed	YFR034C
P43608	reviewed	YFR035C
P14724	reviewed	YFR036W
P43609	reviewed	YFR037C
P43610	reviewed	YFR038W
P43611	reviewed	YFR039C
P43612	reviewed	YFR040W
P43613	reviewed	YFR041C
P43614	reviewed	YFR042W
P43615	reviewed	YFR043C
P43616	reviewed	YFR044C
P43617	reviewed	YFR045W
P43618	reviewed	YFR046C
P43619	reviewed	YFR047C
P43620	reviewed	YFR048W
P19955	reviewed	YFR049W
P30657	reviewed	YFR050C
P43621	reviewed	YFR051C
P32496	reviewed	YFR052W
P04806	reviewed	YFR053C
P43623	reviewed	YFR055W
P43625	reviewed	YFR057W
P53199	reviewed	YGL001C
P53198	reviewed	YGL002W
P53197	reviewed	YGL003C
P53196	reviewed	YGL004C
P53195	reviewed	YGL005C
P38929	reviewed	YGL006W
